A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,label
feat:_0,180.0,49.0,feat:_2,feat:_2,feat:_4,15.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,1.0,1.0,0
feat:_0,186.0,26.0,feat:_2,feat:_4,feat:_5,26.0,feat:_1,feat:_1,4.0,feat:_1,feat:_2,75.0,1.0,0
feat:_0,88.0,66.0,feat:_1,feat:_3,feat:_5,81.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,69.0,111.0,0
feat:_0,93.0,95.0,feat:_2,feat:_9,feat:_4,26.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,117.0,7.0,0
feat:_1,283.0,91.0,feat:_2,feat:_14,feat:_5,3.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,156.0,1.0,0
feat:_0,109.0,55.0,feat:_2,feat:_5,feat:_3,1.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,97.0,2.0,0
feat:_1,77.0,1.0,feat:_2,feat:_4,feat:_4,26.0,feat:_0,feat:_1,12.0,feat:_0,feat:_1,1.0,1.0,0
feat:_1,135.0,193.0,feat:_2,feat:_2,feat:_4,4.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,93.0,0
feat:_1,106.0,30.0,feat:_2,feat:_4,feat:_4,10.0,feat:_0,feat:_1,3.0,feat:_1,feat:_2,60.0,4.0,0
feat:_0,38.0,6.0,feat:_2,feat:_11,feat:_4,2.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,124.0,1.0,0
feat:_1,253.0,8.0,feat:_2,feat:_3,feat:_8,88.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,131.0,1.0,1
feat:_1,165.0,199.0,feat:_2,feat:_2,feat:_4,65.0,feat:_1,feat:_1,10.0,feat:_0,feat:_2,87.0,133.0,1
feat:_1,11.0,5.0,feat:_2,feat:_8,feat:_4,5.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,43.0,1.0,0
feat:_0,132.0,82.0,feat:_2,feat:_9,feat:_4,23.0,feat:_1,feat:_0,1.0,feat:_0,feat:_1,98.0,1.0,1
feat:_1,80.0,46.0,feat:_2,feat:_8,feat:_8,35.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,137.0,77.0,1
feat:_1,159.0,75.0,feat:_2,feat:_8,feat:_4,58.0,feat:_0,feat:_1,3.0,feat:_1,feat:_2,53.0,33.0,0
feat:_1,167.0,66.0,feat:_2,feat:_6,feat:_4,104.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,157.0,1.0,0
feat:_1,56.0,127.0,feat:_2,feat:_6,feat:_4,35.0,feat:_1,feat:_1,2.0,feat:_0,feat:_2,24.0,227.0,1
feat:_1,284.0,116.0,feat:_2,feat:_4,feat:_4,2.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,196.0,1
feat:_1,197.0,66.0,feat:_1,feat:_9,feat:_4,65.0,feat:_0,feat:_0,1.0,feat:_0,feat:_1,69.0,1.0,0
feat:_1,207.0,15.0,feat:_1,feat:_9,feat:_4,8.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,104.0,3.0,0
feat:_1,16.0,119.0,feat:_2,feat:_3,feat:_4,4.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,18.0,50.0,0
feat:_0,100.0,37.0,feat:_2,feat:_11,feat:_4,32.0,feat:_1,feat:_1,3.0,feat:_0,feat:_2,69.0,1.0,0
feat:_0,152.0,43.0,feat:_2,feat:_9,feat:_8,2.0,feat:_0,feat:_1,4.0,feat:_0,feat:_2,1.0,29.0,0
feat:_1,192.0,92.0,feat:_2,feat:_3,feat:_5,71.0,feat:_1,feat:_1,3.0,feat:_0,feat:_2,96.0,126.0,1
feat:_1,42.0,165.0,feat:_2,feat:_8,feat:_4,47.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,44.0,1.0,0
feat:_1,267.0,17.0,feat:_2,feat:_3,feat:_8,85.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,107.0,1.0,1
feat:_1,34.0,1.0,feat:_1,feat:_1,feat:_1,1.0,feat:_0,feat:_1,5.0,feat:_0,feat:_2,13.0,2.0,0
feat:_1,131.0,102.0,feat:_2,feat:_9,feat:_4,117.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,20.0,1.0,1
feat:_0,144.0,22.0,feat:_2,feat:_9,feat:_4,7.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,102.0,1.0,0
feat:_1,230.0,115.0,feat:_2,feat:_7,feat:_4,32.0,feat:_1,feat:_1,6.0,feat:_1,feat:_2,34.0,155.0,1
feat:_1,184.0,70.0,feat:_2,feat:_7,feat:_4,78.0,feat:_1,feat:_1,7.0,feat:_0,feat:_2,71.0,1.0,1
feat:_0,120.0,11.0,feat:_2,feat:_7,feat:_8,4.0,feat:_0,feat:_1,2.0,feat:_1,feat:_2,95.0,52.0,0
feat:_1,125.0,41.0,feat:_2,feat:_4,feat:_8,7.0,feat:_0,feat:_0,1.0,feat:_1,feat:_1,45.0,1.0,0
feat:_1,48.0,151.0,feat:_1,feat:_8,feat:_4,58.0,feat:_1,feat:_0,1.0,feat:_0,feat:_1,11.0,1.0,1
feat:_1,29.0,112.0,feat:_2,feat:_2,feat:_4,15.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,38.0,1.0,0
feat:_0,92.0,73.0,feat:_2,feat:_11,feat:_8,44.0,feat:_1,feat:_1,19.0,feat:_0,feat:_2,1.0,115.0,1
feat:_1,122.0,180.0,feat:_2,feat:_6,feat:_5,7.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,165.0,1.0,0
feat:_1,73.0,164.0,feat:_2,feat:_11,feat:_4,58.0,feat:_1,feat:_1,8.0,feat:_1,feat:_2,32.0,140.0,1
feat:_1,333.0,193.0,feat:_2,feat:_1,feat:_1,130.0,feat:_1,feat:_1,16.0,feat:_1,feat:_2,1.0,150.0,1
feat:_1,111.0,185.0,feat:_2,feat:_10,feat:_2,1.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,45.0,156.0,0
feat:_0,272.0,160.0,feat:_2,feat:_11,feat:_4,85.0,feat:_1,feat:_1,8.0,feat:_1,feat:_2,1.0,1.0,1
feat:_0,49.0,73.0,feat:_2,feat:_11,feat:_4,5.0,feat:_1,feat:_1,4.0,feat:_0,feat:_2,32.0,7.0,1
feat:_1,86.0,139.0,feat:_2,feat:_6,feat:_4,7.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,1.0,1.0,0
feat:_1,173.0,66.0,feat:_2,feat:_8,feat:_4,31.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,98.0,1.0,0
feat:_0,297.0,29.0,feat:_2,feat:_6,feat:_4,14.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,86.0,56.0,0
feat:_1,157.0,1.0,feat:_2,feat:_9,feat:_4,31.0,feat:_1,feat:_1,2.0,feat:_0,feat:_2,70.0,1.0,1
feat:_1,221.0,154.0,feat:_2,feat:_14,feat:_4,58.0,feat:_1,feat:_1,7.0,feat:_0,feat:_2,156.0,76.0,1
feat:_1,14.0,73.0,feat:_2,feat:_4,feat:_4,2.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,53.0,32.0,0
feat:_0,40.0,9.0,feat:_2,feat:_11,feat:_8,8.0,feat:_1,feat:_1,12.0,feat:_0,feat:_2,24.0,49.0,1
feat:_0,91.0,23.0,feat:_2,feat:_6,feat:_8,43.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,131.0,1.0,0
feat:_1,116.0,18.0,feat:_2,feat:_4,feat:_1,1.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,32.0,1.0,0
feat:_0,328.0,207.0,feat:_2,feat:_3,feat:_5,115.0,feat:_1,feat:_1,14.0,feat:_0,feat:_2,1.0,222.0,1
feat:_1,175.0,139.0,feat:_1,feat:_9,feat:_8,90.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,51.0,1.0,1
feat:_1,72.0,6.0,feat:_2,feat:_8,feat:_3,52.0,feat:_0,feat:_0,1.0,feat:_1,feat:_1,1.0,1.0,1
feat:_0,225.0,102.0,feat:_2,feat:_13,feat:_4,122.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,169.0,1.0,0
feat:_1,81.0,20.0,feat:_2,feat:_8,feat:_8,3.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,63.0,1.0,0
feat:_1,163.0,2.0,feat:_1,feat:_2,feat:_4,78.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,146.0,1.0,0
feat:_1,91.0,180.0,feat:_2,feat:_9,feat:_4,24.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,92.0,1.0,0
feat:_0,90.0,34.0,feat:_1,feat:_1,feat:_1,14.0,feat:_1,feat:_1,4.0,feat:_0,feat:_2,63.0,65.0,0
feat:_1,24.0,156.0,feat:_2,feat:_8,feat:_8,28.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,107.0,14.0,0
feat:_0,3.0,13.0,feat:_2,feat:_8,feat:_4,26.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,38.0,19.0,0
feat:_1,91.0,187.0,feat:_1,feat:_1,feat:_1,1.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,65.0,1.0,0
feat:_1,318.0,215.0,feat:_1,feat:_8,feat:_4,132.0,feat:_1,feat:_1,22.0,feat:_0,feat:_2,1.0,16.0,1
feat:_1,336.0,183.0,feat:_1,feat:_8,feat:_8,85.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,36.0,1.0,0
feat:_1,246.0,88.0,feat:_2,feat:_13,feat:_8,101.0,feat:_1,feat:_1,9.0,feat:_0,feat:_2,107.0,1.0,1
feat:_1,91.0,40.0,feat:_2,feat:_8,feat:_4,7.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,35.0,1.0,0
feat:_1,163.0,87.0,feat:_2,feat:_14,feat:_4,85.0,feat:_1,feat:_1,4.0,feat:_1,feat:_2,100.0,190.0,1
feat:_1,72.0,26.0,feat:_2,feat:_3,feat:_4,39.0,feat:_0,feat:_1,2.0,feat:_1,feat:_2,131.0,10.0,0
feat:_1,167.0,2.0,feat:_1,feat:_7,feat:_4,2.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,1.0,0
feat:_1,7.0,26.0,feat:_2,feat:_8,feat:_4,43.0,feat:_1,feat:_1,6.0,feat:_1,feat:_2,115.0,130.0,1
feat:_1,19.0,94.0,feat:_2,feat:_8,feat:_4,7.0,feat:_0,feat:_0,1.0,feat:_0,feat:_1,24.0,1.0,0
feat:_1,62.0,164.0,feat:_2,feat:_14,feat:_4,8.0,feat:_1,feat:_1,7.0,feat:_0,feat:_2,39.0,1.0,1
feat:_1,50.0,104.0,feat:_1,feat:_5,feat:_4,8.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,45.0,74.0,0
feat:_0,20.0,164.0,feat:_2,feat:_14,feat:_8,26.0,feat:_1,feat:_1,12.0,feat:_0,feat:_2,1.0,200.0,1
feat:_1,190.0,47.0,feat:_2,feat:_13,feat:_4,38.0,feat:_1,feat:_1,2.0,feat:_1,feat:_2,156.0,238.0,1
feat:_0,228.0,50.0,feat:_2,feat:_6,feat:_4,7.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,106.0,0
feat:_0,169.0,115.0,feat:_2,feat:_2,feat:_4,31.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,95.0,1.0,0
feat:_1,277.0,113.0,feat:_2,feat:_9,feat:_4,93.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,147.0,66.0,0
feat:_1,84.0,175.0,feat:_2,feat:_8,feat:_4,49.0,feat:_0,feat:_0,1.0,feat:_0,feat:_1,24.0,1.0,0
feat:_1,350.0,109.0,feat:_2,feat:_8,feat:_4,15.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,1.0,99.0,0
feat:_1,71.0,152.0,feat:_2,feat:_14,feat:_4,2.0,feat:_1,feat:_1,10.0,feat:_0,feat:_2,18.0,108.0,1
feat:_1,66.0,20.0,feat:_1,feat:_1,feat:_1,1.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,32.0,1.0,0
feat:_1,213.0,55.0,feat:_2,feat:_3,feat:_4,7.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,78.0,1.0,0
feat:_1,255.0,103.0,feat:_2,feat:_11,feat:_8,120.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,27.0,1.0,1
feat:_1,65.0,168.0,feat:_2,feat:_4,feat:_4,39.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,32.0,161.0,0
feat:_0,90.0,52.0,feat:_1,feat:_8,feat:_4,5.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,43.0,1.0,0
feat:_0,33.0,141.0,feat:_1,feat:_8,feat:_4,26.0,feat:_1,feat:_1,5.0,feat:_1,feat:_2,24.0,115.0,1
feat:_0,250.0,34.0,feat:_2,feat:_6,feat:_4,18.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,86.0,84.0,0
feat:_1,342.0,109.0,feat:_2,feat:_10,feat:_9,121.0,feat:_1,feat:_1,2.0,feat:_1,feat:_2,1.0,1.0,1
feat:_1,67.0,139.0,feat:_2,feat:_6,feat:_4,3.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,1.0,0
feat:_1,237.0,17.0,feat:_2,feat:_7,feat:_4,7.0,feat:_1,feat:_0,1.0,feat:_0,feat:_1,99.0,1.0,0
feat:_1,198.0,66.0,feat:_2,feat:_9,feat:_4,1.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,85.0,77.0,1
feat:_1,142.0,99.0,feat:_2,feat:_7,feat:_4,47.0,feat:_0,feat:_1,2.0,feat:_1,feat:_2,146.0,43.0,0
feat:_1,58.0,148.0,feat:_2,feat:_8,feat:_4,7.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,45.0,1.0,0
feat:_1,124.0,190.0,feat:_2,feat:_9,feat:_4,95.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,150.0,115.0,1
feat:_0,295.0,188.0,feat:_2,feat:_4,feat:_8,110.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,1.0,1.0,1
feat:_1,95.0,175.0,feat:_2,feat:_4,feat:_4,52.0,feat:_1,feat:_1,3.0,feat:_1,feat:_2,38.0,6.0,0
feat:_1,216.0,68.0,feat:_2,feat:_13,feat:_4,5.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,1.0,116.0,0
feat:_0,285.0,42.0,feat:_2,feat:_3,feat:_7,9.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,57.0,0
feat:_0,6.0,6.0,feat:_2,feat:_6,feat:_4,26.0,feat:_0,feat:_1,3.0,feat:_1,feat:_2,107.0,2.0,0
feat:_1,118.0,46.0,feat:_1,feat:_9,feat:_4,10.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,92.0,154.0,1
feat:_0,185.0,13.0,feat:_2,feat:_13,feat:_4,10.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,102.0,35.0,1
feat:_1,64.0,27.0,feat:_2,feat:_9,feat:_4,8.0,feat:_0,feat:_1,2.0,feat:_0,feat:_2,136.0,91.0,0
feat:_0,21.0,18.0,feat:_2,feat:_8,feat:_4,43.0,feat:_0,feat:_1,2.0,feat:_1,feat:_2,24.0,6.0,0
feat:_1,47.0,1.0,feat:_2,feat:_8,feat:_4,1.0,feat:_0,feat:_0,1.0,feat:_0,feat:_3,65.0,1.0,0
feat:_1,162.0,197.0,feat:_2,feat:_8,feat:_4,14.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,38.0,1.0,0
feat:_1,59.0,27.0,feat:_1,feat:_13,feat:_4,18.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,53.0,1.0,0
feat:_1,262.0,61.0,feat:_2,feat:_3,feat:_5,20.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,159.0,1.0,0
feat:_1,70.0,5.0,feat:_1,feat:_4,feat:_4,4.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,69.0,44.0,0
feat:_1,289.0,119.0,feat:_2,feat:_11,feat:_8,96.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,114.0,1.0,1
feat:_1,63.0,18.0,feat:_1,feat:_14,feat:_4,2.0,feat:_1,feat:_1,2.0,feat:_1,feat:_2,167.0,40.0,1
feat:_0,60.0,169.0,feat:_1,feat:_5,feat:_3,1.0,feat:_1,feat:_1,12.0,feat:_1,feat:_2,1.0,1.0,1
feat:_1,244.0,29.0,feat:_2,feat:_1,feat:_1,1.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,42.0,2.0,0
feat:_1,215.0,87.0,feat:_2,feat:_8,feat:_5,85.0,feat:_1,feat:_0,1.0,feat:_1,feat:_1,98.0,1.0,0
feat:_0,95.0,178.0,feat:_2,feat:_13,feat:_8,73.0,feat:_1,feat:_1,7.0,feat:_0,feat:_2,131.0,112.0,1
feat:_1,242.0,46.0,feat:_2,feat:_3,feat:_5,1.0,feat:_0,feat:_0,1.0,feat:_0,feat:_1,102.0,1.0,0
feat:_1,292.0,62.0,feat:_2,feat:_1,feat:_1,8.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,69.0,4.0,0
feat:_1,83.0,53.0,feat:_2,feat:_8,feat:_4,15.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,44.0,2.0,0
feat:_1,136.0,38.0,feat:_2,feat:_4,feat:_4,14.0,feat:_1,feat:_0,1.0,feat:_0,feat:_1,98.0,1.0,0
feat:_1,191.0,52.0,feat:_2,feat:_9,feat:_5,7.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,54.0,1.0,0
feat:_1,120.0,50.0,feat:_2,feat:_13,feat:_8,87.0,feat:_1,feat:_1,10.0,feat:_0,feat:_2,130.0,142.0,1
feat:_1,146.0,54.0,feat:_2,feat:_8,feat:_8,80.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,92.0,77.0,1
feat:_1,82.0,70.0,feat:_2,feat:_1,feat:_1,81.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,53.0,25.0,0
feat:_1,324.0,136.0,feat:_2,feat:_10,feat:_8,101.0,feat:_1,feat:_1,4.0,feat:_0,feat:_2,1.0,1.0,1
feat:_0,173.0,18.0,feat:_2,feat:_13,feat:_4,2.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,141.0,230.0,1
feat:_0,154.0,161.0,feat:_2,feat:_11,feat:_8,3.0,feat:_0,feat:_1,13.0,feat:_1,feat:_2,41.0,4.0,0
feat:_1,320.0,203.0,feat:_2,feat:_2,feat:_5,126.0,feat:_1,feat:_1,18.0,feat:_1,feat:_2,1.0,1.0,1
feat:_0,25.0,151.0,feat:_2,feat:_9,feat:_4,26.0,feat:_0,feat:_1,2.0,feat:_0,feat:_2,38.0,2.0,0
feat:_1,126.0,87.0,feat:_1,feat:_3,feat:_8,95.0,feat:_1,feat:_1,3.0,feat:_1,feat:_2,22.0,1.0,0
feat:_0,340.0,192.0,feat:_2,feat:_1,feat:_1,1.0,feat:_1,feat:_1,12.0,feat:_1,feat:_2,1.0,171.0,1
feat:_0,129.0,20.0,feat:_2,feat:_6,feat:_4,2.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,92.0,151.0,0
feat:_1,253.0,149.0,feat:_2,feat:_14,feat:_8,107.0,feat:_1,feat:_1,9.0,feat:_0,feat:_2,1.0,1.0,1
feat:_1,231.0,51.0,feat:_2,feat:_14,feat:_4,4.0,feat:_1,feat:_1,6.0,feat:_1,feat:_2,149.0,1.0,1
feat:_0,327.0,151.0,feat:_2,feat:_11,feat:_4,76.0,feat:_1,feat:_1,15.0,feat:_0,feat:_2,1.0,176.0,1
feat:_1,36.0,144.0,feat:_2,feat:_11,feat:_4,26.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,18.0,109.0,1
feat:_1,154.0,69.0,feat:_1,feat:_7,feat:_4,4.0,feat:_0,feat:_0,1.0,feat:_1,feat:_1,24.0,1.0,0
feat:_1,44.0,110.0,feat:_2,feat:_9,feat:_4,42.0,feat:_1,feat:_0,1.0,feat:_0,feat:_1,38.0,1.0,1
feat:_1,85.0,20.0,feat:_1,feat:_13,feat:_8,4.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,86.0,2.0,0
feat:_1,232.0,144.0,feat:_2,feat:_7,feat:_4,99.0,feat:_1,feat:_1,15.0,feat:_0,feat:_2,86.0,211.0,1
feat:_1,254.0,34.0,feat:_2,feat:_9,feat:_4,85.0,feat:_1,feat:_1,7.0,feat:_1,feat:_2,152.0,228.0,1
feat:_0,330.0,94.0,feat:_2,feat:_11,feat:_8,66.0,feat:_1,feat:_1,7.0,feat:_0,feat:_2,12.0,120.0,1
feat:_1,29.0,157.0,feat:_2,feat:_1,feat:_1,11.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,24.0,1.0,0
feat:_1,103.0,78.0,feat:_2,feat:_8,feat:_8,53.0,feat:_0,feat:_1,2.0,feat:_1,feat:_2,135.0,22.0,0
feat:_1,192.0,42.0,feat:_2,feat:_3,feat:_5,4.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,141.0,210.0,0
feat:_1,155.0,66.0,feat:_2,feat:_13,feat:_8,52.0,feat:_0,feat:_0,1.0,feat:_1,feat:_1,111.0,1.0,0
feat:_1,163.0,13.0,feat:_2,feat:_2,feat:_4,24.0,feat:_1,feat:_0,1.0,feat:_1,feat:_1,168.0,1.0,0
feat:_1,32.0,14.0,feat:_1,feat:_8,feat:_4,5.0,feat:_0,feat:_1,2.0,feat:_0,feat:_2,69.0,2.0,0
feat:_1,123.0,78.0,feat:_1,feat:_11,feat:_8,87.0,feat:_0,feat:_1,3.0,feat:_1,feat:_2,119.0,2.0,0
feat:_1,118.0,26.0,feat:_2,feat:_8,feat:_8,78.0,feat:_1,feat:_1,4.0,feat:_1,feat:_2,106.0,66.0,1
feat:_1,200.0,212.0,feat:_2,feat:_14,feat:_8,40.0,feat:_1,feat:_1,2.0,feat:_1,feat:_2,154.0,115.0,1
feat:_0,230.0,87.0,feat:_2,feat:_8,feat:_4,65.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,149.0,1.0,0
feat:_0,51.0,136.0,feat:_2,feat:_8,feat:_4,5.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,102.0,0
feat:_1,124.0,26.0,feat:_2,feat:_11,feat:_8,5.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,77.0,88.0,0
feat:_0,98.0,180.0,feat:_2,feat:_2,feat:_4,26.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,63.0,153.0,0
feat:_0,345.0,115.0,feat:_2,feat:_1,feat:_1,1.0,feat:_0,feat:_0,1.0,feat:_0,feat:_1,1.0,1.0,0
feat:_1,239.0,119.0,feat:_2,feat:_6,feat:_5,73.0,feat:_1,feat:_1,2.0,feat:_0,feat:_2,1.0,115.0,1
feat:_1,262.0,102.0,feat:_2,feat:_3,feat:_5,52.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,46.0,1.0,0
feat:_1,145.0,40.0,feat:_1,feat:_4,feat:_4,7.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,79.0,1.0,0
feat:_0,61.0,173.0,feat:_2,feat:_8,feat:_4,7.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,63.0,1.0,0
feat:_1,159.0,46.0,feat:_1,feat:_9,feat:_4,2.0,feat:_0,feat:_0,1.0,feat:_0,feat:_1,53.0,1.0,0
feat:_1,209.0,58.0,feat:_1,feat:_9,feat:_4,3.0,feat:_1,feat:_1,2.0,feat:_0,feat:_2,15.0,157.0,1
feat:_1,30.0,102.0,feat:_2,feat:_11,feat:_4,10.0,feat:_1,feat:_1,3.0,feat:_0,feat:_2,1.0,31.0,0
feat:_1,137.0,196.0,feat:_2,feat:_8,feat:_8,91.0,feat:_1,feat:_1,12.0,feat:_0,feat:_2,1.0,191.0,1
feat:_1,140.0,40.0,feat:_2,feat:_8,feat:_8,7.0,feat:_0,feat:_1,3.0,feat:_1,feat:_2,131.0,52.0,0
feat:_0,141.0,36.0,feat:_1,feat:_14,feat:_4,26.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,98.0,14.0,0
feat:_1,44.0,141.0,feat:_2,feat:_8,feat:_4,41.0,feat:_1,feat:_1,4.0,feat:_1,feat:_2,11.0,27.0,1
feat:_0,70.0,135.0,feat:_1,feat:_14,feat:_4,57.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,55.0,1.0,1
feat:_0,282.0,132.0,feat:_2,feat:_8,feat:_4,106.0,feat:_1,feat:_1,7.0,feat:_1,feat:_2,1.0,164.0,1
feat:_1,163.0,17.0,feat:_2,feat:_8,feat:_5,23.0,feat:_1,feat:_0,1.0,feat:_1,feat:_1,107.0,1.0,0
feat:_0,267.0,1.0,feat:_2,feat:_8,feat:_4,58.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,1.0,1.0,1
